"team","proj.points","gd","champ.pct","playoff.pct","drop.pct","off.rank","def.rank"
"Reial Madrid",81.49374,46.2322782736771,"50%",">99%","<1%",2,1
"Barça",81.02815,48.3290364094096,"50%",">99%","<1%",1,8
"Sevilla",65.9681,15.7155981509831,"<1%","70%","<1%",5,5
"Getafe",63.89532,17.4164288672074,"<1%","52%","<1%",6,4
"Atlètic Madrid",63.13847,14.0986731568644,"<1%","38%","<1%",13,2
"Reial Societat",62.19303,14.1959900226549,"<1%","32%","<1%",3,10
"València",57.26434,-1.65660263903488,"<1%","4%","<1%",7,14
"Vila-real",56.6395,10.4837346848577,"<1%","4%","<1%",4,13
"Granada",53.58598,1.52326704792051,"<1%","<1%","<1%",10,7
"Athletic",49.91079,2.88823899679868,"<1%","<1%","<1%",17,3
"Llevant",47.23166,-9.17788729192381,"<1%","<1%","<1%",11,12
"Osasuna",46.89009,-6.90189306308679,"<1%","<1%","<1%",9,17
"Betis",45.39055,-7.14948977846086,"<1%","<1%","<1%",8,18
"Alavés",44.16171,-12.7390587307988,"<1%","<1%","<1%",12,11
"Valladolid",43.51072,-8.8220474767725,"<1%","<1%","2%",19,6
"Eibar",41.69843,-17.2843019207816,"<1%","<1%","6%",14,16
"Celta",37.83339,-16.7529172295211,"<1%","<1%","22%",18,9
"Mallorca",33.40387,-26.9687447183646,"<1%","<1%","78%",15,19
"Espanyol",30.4669,-33.547184664298,"<1%","<1%","94%",16,20
"Leganés",29.27661,-29.8831180973304,"<1%","<1%","96%",20,15
