"team","points","round"
"Alavés",37.6760314284342,12
"Athletic",54.4029530918421,12
"Atlètic Madrid",62.5222888674294,12
"Barça",80.7617899380386,12
"Betis",45.8900759439602,12
"Celta",27.4798709321282,12
"Eibar",46.1815819425647,12
"Espanyol",22.7634020287706,12
"Getafe",57.3608467055284,12
"Granada",62.5050463041585,12
"Leganés",20.6825140636147,12
"Llevant",53.6951634167471,12
"Mallorca",30.5910503451929,12
"Osasuna",56.8168343593312,12
"Reial Madrid",76.8632902280916,12
"Reial Societat",64.4089973023204,12
"Sevilla",62.1949786580731,12
"València",46.9873728871083,12
"Valladolid",58.7616187116834,12
"Vila-real",65.8356869739414,12
"Alavés",43.4338802652,13
"Athletic",56.5908423372846,13
"Atlètic Madrid",64.2906384858222,13
"Barça",79.7605594562226,13
"Betis",41.8193690297295,13
"Celta",28.0804021148634,13
"Eibar",41.1574525535841,13
"Espanyol",22.5947081258298,13
"Getafe",57.2216818125785,13
"Granada",58.5729337979256,13
"Leganés",23.1039544759069,13
"Llevant",51.0771295882312,13
"Mallorca",36.6765636924675,13
"Osasuna",57.1363442747013,13
"Reial Madrid",80.7705782594347,13
"Reial Societat",61.2294038347144,13
"Sevilla",65.3269196900971,13
"València",52.5684017301321,13
"Valladolid",52.4509783918522,13
"Vila-real",59.8625366669724,13
"Alavés",47.8971042196234,14
"Athletic",60.4070089034857,14
"Atlètic Madrid",65.1108562903473,14
"Barça",79.3000970491371,14
"Betis",43.4152197974484,14
"Celta",36.0479091837533,14
"Eibar",36.4455592574388,14
"Espanyol",23.4465311080671,14
"Getafe",56.2607792343935,14
"Granada",57.8496881717375,14
"Leganés",22.6584573933666,14
"Llevant",51.2365301149932,14
"Mallorca",35.4251395423864,14
"Osasuna",53.2994799716035,14
"Reial Madrid",80.9453332848719,14
"Reial Societat",62.0810200038707,14
"Sevilla",68.7020833720097,14
"València",52.0934856754931,14
"Valladolid",48.2129186507608,14
"Vila-real",52.7974468274515,14
"Alavés",46.7842873646866,15
"Athletic",63.4350997006726,15
"Atlètic Madrid",61.8239885593552,15
"Barça",82.7962122868949,15
"Betis",46.6634880040402,15
"Celta",35.4657109400354,15
"Eibar",35.2867575603417,15
"Espanyol",22.6558453088166,15
"Getafe",60.768585966167,15
"Granada",56.2530782830244,15
"Leganés",22.6328248787088,15
"Llevant",47.4474169655865,15
"Mallorca",32.9202014389837,15
"Osasuna",55.9702536817256,15
"Reial Madrid",81.4739380592323,15
"Reial Societat",62.991958086342,15
"Sevilla",68.3371619056293,15
"València",54.3007489081131,15
"Valladolid",47.1542757814444,15
"Vila-real",51.4133845737642,15
"Alavés",43.6306794747262,16
"Athletic",60.3767671276631,16
"Atlètic Madrid",61.8433407144625,16
"Barça",82.2535473792123,16
"Betis",49.6964894171543,16
"Celta",34.384560328748,16
"Eibar",33.1447718694413,16
"Espanyol",22.9033015746636,16
"Getafe",62.469160340284,16
"Granada",59.374484162837,16
"Leganés",26.1727374168821,16
"Llevant",44.139402804742,16
"Mallorca",33.4467070900401,16
"Osasuna",55.2017540805764,16
"Reial Madrid",80.6979252561967,16
"Reial Societat",62.9001742291745,16
"Sevilla",68.4530455846368,16
"València",58.4883671586985,16
"Valladolid",46.2287313368915,16
"Vila-real",50.6899643256663,16
"Alavés",41.4042028224567,17
"Athletic",58.018441175916,17
"Atlètic Madrid",64.5315869711791,17
"Barça",81.8429792121697,17
"Betis",48.5008308409089,17
"Celta",33.5337627397017,17
"Eibar",34.4069308762595,17
"Espanyol",23.5442388428339,17
"Getafe",64.3897996619306,17
"Granada",55.0399339371138,17
"Leganés",27.1924609155025,17
"Llevant",47.9534024724476,17
"Mallorca",34.2697721499401,17
"Osasuna",53.2289647288505,17
"Reial Madrid",79.5265802888065,17
"Reial Societat",62.7237287389543,17
"Sevilla",64.6767484528649,17
"València",58.873018659706,17
"Valladolid",44.1635625533941,17
"Vila-real",54.2891596598412,17
"Alavés",41.2724185566589,18
"Athletic",58.9790096100534,18
"Atlètic Madrid",66.5473588852675,18
"Barça",82.330879867956,18
"Betis",47.0042168858103,18
"Celta",32.269673677499,18
