shortname,fullname,team
Alcorcón,AD Alcorcón,/Ad-Alcorcon
Alavés,Deportivo Alavés,/Alaves
Albacete,Albacete Balompie,/Albacete
Alcarràs,FC Alcarràs,/Alcarras
Alcoyano,CD Alcoyano,/Alcoyano
Algeciras,Algeciras CF,/Algeciras-Cf
Alhama,Alhama CF,/Alhama-Cf-Femenino
Almeria,UD Almeria,/Almeria
Amorebieta,SD Amorebieta,/Amorebieta
Andratx,CE Andratx,/Andratx
Ascó,FC Ascó,/Asco-Fc-Senior
Sanluqueño,Atletic Sanluqueño,/At-Sanluqueno
Athletic,Athletic Club de Bilbao,/Athletic-Bilbao
Athletic B,Athletic Club de Bilbao B,/Athletic-Bilbao-B
Athletic B,Athletic Club de Bilbao B,/Athletic-Club-B-Femenino-Esp
Athletic,Athletic Club de Bilbao,/Athletic-Club-Femenino
Atlètic Madrid,Atlètic de Madrid,/Atletico-Madrid
Màlaga,Màlaga CF,/Atletico-Malaga-Femenino
Osasuna,CA Osasuna,/Atletico-Osasuna-Femenino
Atzeneta,Atzeneta UE,/Atzeneta-Ue-Senior
Racing,Reial Racing Club,/Ave-Fenix-Racing-Femenino
Badajoz,CD Badajoz,/Badajoz-1905
Badalona,CF Badalona,/Badalona
Atl. Baleares,CD Atl. Baleares,/Balears-Femenina
Banyoles,CE Banyoles,/Banyoles
Barça,FC Barcelona,/Barcelona
Barça B,FC Barcelona B,/Barcelona-B
Barça B,FC Barcelona B,/Barcelona-B-Femenino
Bescanó,CE Bescanó,/Bescano
Betis,Reial Betis,/Betis
Betis B,Reial Betis B,/Betis-B
Borges Blanques,FC Borges Blanques,/Borges-Blanques
Brea,CD Brea,/Brea
Burgos,Burgos CF,/Burgos-Cf
Cadis,Cadis CF,/Cadiz
Can Vidalet,CF Can Vidalet,/Can-Vidalet-Cf
Cartagena,FC Cartagena,/Cartagena
Sant Lluis,CCE Sant Lluis,/Cce-Sant-Lluis-Femenino-A
Alba,CD Alba,/Cd-Alba-Fundacion-Femenino-Femenina
Atletic Balears,Atletic Balears,/Cd-Atletico-Baleares
Atletic Balears,Atletic Balears,/Cd-Atletico-Baleares-Juvenil
Calahorra,CD Calahorra,/Cd-Calahorra
Reial Madrid,Reial Madrid CF,/Cd-Canillas-Femenino
Castelló,CD Castelló,/Cd-Castellon
Ebre,Ebre CD,/Cd-Ebro-Nacional-Juvenil
Femarguín,CD Femarguín,/Cd-Femarguin-Femenino
Parquesol,CD Parquesol,/Cd-Parquesol-Femenino
Pozoalbense,CD Pozoalbense,/Cd-Pozoalbense-Femenino-Femenina
San Francisco,CD San Francisco,/Cd-San-Francisco-Juvenil
Sant Gabriel,CD Sant Gabriel,/Cd-San-Gabriel-Femenino
Unionistas,Unionistas CF,/Cd-Unionistas-Salamanca-Cf-Senior
El Catllar,CE El Catllar,/Ce-El-Catllar
Europa,CE Europa,/Ce-Europa
Europa,CE Europa,/Ce-Europa-Juvenil
Júpiter,CE Júpiter,/Ce-Jupiter
Seagull,CE Seagull,/Ce-Seagull-Femenino
Celta,RC Celta de Vigo,/Celta
Celta B,RC Celta de Vigo B,/Celta-B
Cerdanyola,Cerdanyola FC,/Cerdanyola-Valles-Fc
Cerdanyola,Cerdanyola FC,/Cerdanyola-Valles-Fc-A-Juvenil
CF Damm,CF Damm,/Cf-Damm-Juvenil
Igualada,CF Igualada,/Cf-Igualada-Femenino
Inter de Madrid,DUX Internacional de Madrid,/Cf-Internacional
Castelló,CD Castelló,/Cf-Joventut-Almassora-A-Senior
La Solana,La Solana,/Cf-La-Solana-Femenino
Lloret,CF Lloret,/Cf-Lloret-Senior
Mollet,Mollet UE,/Cf-Mollet
Pozuelo de Alarcon,CF Pozuelo de Alarcon,/Cf-Pozuelo-De-Alarcon-Femenino
Talavera,CF Talavera,/Cf-Talavera-Reina
Cáceres,CFF Cáceres,/Cff-Caceres-Femenino-Esp
Atlètic Madrid B,Atlètic de Madrid B,/Club-Atletico-De-Madrid-B-Femenino
Atlètic Madrid,Atlètic de Madrid,/Club-Atletico-De-Madrid-Femenino
Atlètic Lleida,Club Esportiu Atlètic Lleida,/Club-Esportiu-Atletic-Lleida-2019
Lleida,Lleida Esportiu,/Club-Lleida-Esportiu-Juvenil
Friol,Peluqueria Mixta Friol,/Club-Peluqueria-Mixta-Friol-Femenino
Collerense B,UD Collerense B,/Collerense-B-Femenino
Cordoba,Cordoba CF,/Cordoba-Cf-Sad-Femenino
Cornellà,Cornellà UD,/Cornella
Cultural Leonesa,Cultural y Deportiva Leonesa,/Cultural-Deportiva-Leonesa
Deportivo,RC Deportivo,/Deportivo
Alavés,Deportivo Alavés,/Deportivo-Alaves-Femenino
Deportivo,RC Deportivo,/Deportivo-Femenino
Ebre,Ebre CD,/Ebro
Granollers,EC Granollers,/Ec-Granollers-Senior
Logroño,UD Logroño,/Edf-Logrono-Femenina
Eibar,SD Eibar,/Eibar
Eibar,SD Eibar,/Eibar-Femenino
Eixea,SD Eixea,/Ejea
Elx,Elx CF,/Elche
Elx,Elx CF,/Elche-Cf-Femeninno
Mataró,EF Mataró CE,/Escola-Futbol-Mataro-Cd
Espanyol,RCD Espanyol,/Espanyol
Espanyol B,RCD Espanyol B,/Espanyol-B
Espanyol B,RCD Espanyol B,/Espanyol-B-Femenino
Europa,CE Europa,/Europa-Femenino
Extremadura,Extremadura UD,/Extremadura-Ud
Andorra,FC Andorra,/Fc-Andorra-Senior
Barça,FC Barcelona,/Fc-Barcelona-Femenino
Barça,FC Barcelona,/Fc-Barcelona-Juvenil
Martinenc,FC Martinenc,/Fc-Martinenc-Senior
Santfeliuenc,Santfeliuenc FC,/Fc-Santfeliuenc
Figueres,UE Figueres,/Figueres
Fontsanta Fatjo,CD Fontsanta Fatjo,/Fontsanta-Fatjo-A-Femenino
Fuenlabrada,CF Fuenlabrada,/Fuenlabrada
Terrassa,Terrassa FC,/Fundacio-Terrassa-Futbol-Club-1906-A-Femenina
Fundación Albacete,Fundación Albacete,/Fundacion-Albacete-Femenino-Esp
Gandesa,CF Gandesa,/Gandesa
Gavà,CF Gavà,/Gava
Getafe,Getafe CF,/Getafe
Nàstic,Club Gimnàstic de Tarragona,/Gimnastic-Tarragona
Nàstic,Club Gimnàstic de Tarragona,/Gimnastic-Tarragona-Juvenil
Girona,FC Girona,/Girona-Fc
Girona B,FC Girona B,/Girona-Fc-B
Girona,FC Girona,/Girona-Fc-Femenino
Girona,Girona FC,/Girona-Fc-Juvenil
FE Grama,FE Grama,/Grama-A
Granada,Granada CF,/Granada
Granada,Granada CF,/Granada-Cf-Femenino
Guineueta,EE Guineueta CF,/Guineueta-Cf
Hèrcules,Hèrcules de Alicante CF,/Hercules
L'Hospitalet,CE L'Hospitalet,/Hospitalet
Osca,SD Osca,/Huesca
Osca B,SD Osca B,/Huesca-Sd-Senior
Eivissa,Eivissa UD,/Ibiza-Eivissa
CD Ibiza,CD Ibiza,/Ibiza-I-Pitiusas
Igualada,CF Igualada,/Igualada
Juan Grande,CD Juan Grande,/Juangrandre-Femenino
L'Escala,FC L'Escala,/L-Escala
Leganés,CD Leganés,/Leganes
Les Franqueses,CF Les Franqueses,/Les-Franqueses-Cf
Llevant,Llevant UD,/Levante
